Date,Sentiment_score,No_of_likes,No_of_comments,Count_of_tweets,Close,Volume,Target
2023-07-03,0.04577220077220077,223,20,37,2405.7919921875,6077193,2381.004638671875
2023-07-04,0.07388129414445203,15,9,19,2381.004638671875,4030821,2377.095703125
2023-07-05,0.07658685064935065,258,47,40,2377.095703125,5124031,2426.9921875
2023-07-06,0.09900392817059483,35,7,18,2426.9921875,9558993,2422.255615234375
2023-07-07,0.09007552924717559,1103,128,205,2422.255615234375,6687633,2515.564208984375
2023-07-10,0.08175814726643613,1178,38,82,2515.564208984375,16620008,2542.834716796875
2023-07-11,0.07158766152516152,1086,94,222,2542.834716796875,10034674,2545.639892578125
2023-07-12,0.08797476571746786,2397,180,213,2545.639892578125,9366917,2522.876220703125
2023-07-13,0.03637345679012346,539,12,18,2522.876220703125,7341467,2520.7607421875
2023-07-14,0.029737239822467097,494,25,88,2520.7607421875,7562072,2572.266845703125
2023-07-17,0.08669088468720822,148,9,34,2572.266845703125,11110020,2594.11083984375
2023-07-18,0.12513392857142858,239,12,20,2594.11083984375,12933656,2613.79345703125
2023-07-19,0.11049955200433922,6192,156,235,2613.79345703125,19561078,2610.628173828125
2023-07-20,0.02574386934125306,168,21,43,2610.628173828125,19358812,2529.8134765625
2023-07-21,0.0577865649140817,1144,141,149,2529.8134765625,15124619,2478.644287109375
2023-07-24,0.05669189735161957,1896,157,234,2478.644287109375,11863933,2477.050048828125
2023-07-25,-0.03770461309523809,60,6,32,2477.050048828125,6013010,2517.3076171875
2023-07-26,0.07011709811927963,150,12,31,2517.3076171875,6455506,2493.890380859375
2023-07-27,0.013700939523977327,853,23,86,2493.890380859375,8613449,2518.9521484375
2023-07-28,0.021835505962867884,173,30,86,2518.9521484375,10413926,2540.276611328125
2023-07-31,0.08862010540062865,723,54,129,2540.276611328125,4275587,2504.353515625
2023-08-01,0.02653810835629017,20,1,11,2504.353515625,4768316,2477.59814453125
2023-08-02,0.07403158793695142,598,95,141,2477.59814453125,6374107,2467.184814453125
2023-08-03,0.05199929505104722,5225,196,173,2467.184814453125,5084175,2500.71630859375
2023-08-04,0.05078996076545096,1771,89,153,2500.71630859375,11442805,2514.966064453125
2023-08-07,0.06825722502805837,531,28,150,2514.966064453125,2991435,2499.8193359375
2023-08-08,0.030134437880792047,450,99,150,2499.8193359375,4922036,2516.311279296875
2023-08-09,0.03758845574470574,734,37,148,2516.311279296875,5743293,2527.521728515625
2023-08-10,0.03573128376253376,2833,340,195,2527.521728515625,7735299,2538.183837890625
2023-08-11,0.10966758174787815,1257,77,147,2538.183837890625,11089665,2568.177978515625
2023-08-14,0.04827667614815287,1384,122,204,2568.177978515625,4787906,2566.08544921875
2023-08-16,0.10538568132325701,4352,89,129,2566.08544921875,5101556,2529.066162109375
2023-08-17,0.08384456506267732,433,34,98,2529.066162109375,6836872,2547.800048828125
2023-08-18,0.09126625262055492,1206,118,288,2547.800048828125,9319989,2520.0
2023-08-21,0.05851822629885953,1539,281,361,2520.0,4610873,2519.39990234375
2023-08-22,0.07828600933908046,524,85,174,2519.39990234375,3856522,2522.199951171875
2023-08-23,0.02022755237871517,669,24,129,2522.199951171875,4758976,2479.800048828125
2023-08-24,0.055691215247715246,1318,178,250,2479.800048828125,7070010,2468.35009765625
2023-08-25,0.08066474897250567,1789,163,224,2468.35009765625,11111200,2443.75
2023-08-28,0.08334327051835763,1062,152,287,2443.75,6290413,2420.35009765625
2023-08-29,0.08195406171503394,2771,270,375,2420.35009765625,8438322,2418.050048828125
2023-08-30,0.11154524239544196,1114,229,217,2418.050048828125,6084473,2407.0
2023-08-31,0.04993367782538701,463,63,175,2407.0,10819300,2412.64990234375
2023-09-01,0.07597186147186147,306,48,15,2412.64990234375,9056421,2410.699951171875
2023-09-04,0.043218401137110285,462,72,153,2410.699951171875,4673813,2423.60009765625
2023-09-05,0.10089829749103943,953,79,31,2423.60009765625,4337938,2428.699951171875
2023-09-06,0.02454188583220841,57,5,31,2428.699951171875,4100185,2432.0
2023-09-07,0.04219087425983978,117,14,29,2432.0,6826286,2448.199951171875
2023-09-08,0.10536286916786916,3485,147,350,2448.199951171875,11554644,2474.60009765625
2023-09-11,0.07624894565070346,1218,87,200,2474.60009765625,6635537,2438.85009765625
2023-09-12,0.10506649508841437,698,103,121,2438.85009765625,8127833,2451.050048828125
2023-09-13,0.08663924429926141,1963,151,93,2451.050048828125,6401669,2453.300048828125
2023-09-14,0.07954459731687455,191,40,101,2453.300048828125,4604818,2457.85009765625
2023-09-15,0.07685822036150984,314,18,76,2457.85009765625,12734296,2436.449951171875
2023-09-18,0.09843088317578114,198,39,98,2436.449951171875,3758150,2382.14990234375
2023-09-20,0.08559624012197214,2393,194,365,2382.14990234375,28540942,2364.800048828125
2023-09-21,0.13696031746031748,223,15,45,2364.800048828125,6113091,2354.949951171875
2023-09-22,0.07447089947089947,125,9,12,2354.949951171875,9588393,2340.449951171875
2023-09-25,0.11986574511974703,392,64,175,2340.449951171875,7127442,2342.5
2023-09-26,0.0834115837865838,533,53,130,2342.5,5043891,2368.89990234375
2023-09-27,0.08118271756130532,527,42,205,2368.89990234375,5861389,2334.10009765625
2023-09-28,0.08678952991452991,147,8,52,2334.10009765625,7259173,2345.0
2023-09-29,0.08161224041658825,306,40,115,2345.0,6171007,2318.14990234375
2023-10-03,0.07016733966313798,485,64,136,2318.14990234375,4429528,2314.14990234375
2023-10-04,0.08702733238769995,927,90,244,2314.14990234375,5143193,2314.10009765625
2023-10-05,0.08651315789473685,20,4,19,2314.10009765625,5476841,2318.0
2023-10-06,0.08300830370026799,510,14,36,2318.0,2715513,2298.25
2023-10-09,0.09601141119797836,487,19,134,2298.25,3788439,2308.39990234375
2023-10-10,0.07438871313871313,368,247,91,2308.39990234375,5118016,2345.050048828125
2023-10-11,0.08216953485472003,479,20,81,2345.050048828125,4907059,2349.39990234375
2023-10-12,0.0425,16,1,16,2349.39990234375,6277225,2349.300048828125
2023-10-13,0.013418222402597406,1331,110,92,2349.300048828125,5075158,2344.050048828125
2023-10-16,0.03450062763200518,425,37,98,2344.050048828125,2964518,2355.25
2023-10-17,0.09064589358407293,661,84,138,2355.25,3964090,2324.0
2023-10-18,0.060239085373095407,217,44,137,2324.0,4459160,2306.14990234375
2023-10-19,0.07979776859478827,715,82,162,2306.14990234375,6016278,2299.10009765625
2023-10-20,0.09194239277230538,347,89,118,2299.10009765625,4456656,2263.199951171875
2023-10-23,0.07513563485487314,1399,60,192,2263.199951171875,3926981,2257.949951171875
2023-10-25,0.11738236405216827,633,49,166,2257.949951171875,5810344,2226.5
2023-10-26,0.11100108100458711,661,111,205,2226.5,7611267,2265.800048828125
2023-10-27,0.04176587301587301,27,5,12,2265.800048828125,5885542,2312.5
2023-10-30,0.07673669090026654,1644,135,345,2312.5,8406652,2287.89990234375
2023-10-31,0.062467050903430826,2515,172,279,2287.89990234375,6404219,2297.39990234375
2023-11-01,0.09676311707164462,1627,59,177,2297.39990234375,5154595,2320.199951171875
2023-11-02,0.08928822497924611,2185,107,142,2320.199951171875,5281052,2319.699951171875
2023-11-03,0.03588235294117646,70,52,17,2319.699951171875,4425078,2339.0
2023-11-06,0.0681534267747503,362,46,102,2339.0,5323652,2323.800048828125
2023-11-07,0.1833316798941799,65,2,18,2323.800048828125,3480102,2335.89990234375
2023-11-08,0.0944776016467193,566,60,68,2335.89990234375,3942247,2310.550048828125
2023-11-09,0.0709322318994938,1322,104,105,2310.550048828125,7256805,2314.89990234375
2023-11-10,-0.010938126913736667,152,21,41,2314.89990234375,3867477,2314.60009765625
2023-11-13,-0.01696180555555555,125,25,32,2314.60009765625,1927405,2356.449951171875
2023-11-15,0.07206235026547526,1154,68,104,2356.449951171875,6110324,2360.699951171875
2023-11-16,0.07791557997529137,917,53,154,2360.699951171875,6567455,2355.550048828125
2023-11-17,0.09980565476190477,325,27,75,2355.550048828125,3879317,2349.35009765625
2023-11-20,0.001137566137566141,118,10,42,2349.35009765625,2245093,2378.89990234375
2023-11-21,0.08216251273236566,2063,155,204,2378.89990234375,4107225,2388.199951171875
2023-11-22,0.06610329940822365,634,32,72,2388.199951171875,4267407,2395.5
2023-11-23,0.042760312748025726,491,171,109,2395.5,4265771,2393.89990234375
2023-11-24,0.12947126823793492,257,52,75,2393.89990234375,3374743,2394.39990234375
2023-11-28,0.08473276128633273,226,35,105,2394.39990234375,6896087,2400.699951171875
2023-11-29,0.08284103493405819,306,18,86,2400.699951171875,6265653,2377.449951171875
2023-11-30,0.10377552405778212,298,29,93,2377.449951171875,14219992,2394.300048828125
2023-12-01,0.017243074686256507,331,49,88,2394.300048828125,7171421,2420.199951171875
2023-12-04,0.09870577834863549,214,12,91,2420.199951171875,7795495,2437.75
2023-12-05,0.08389123773052344,170,16,91,2437.75,6346812,2461.10009765625
2023-12-06,0.018039072490292005,1427,1090,164,2461.10009765625,8211221,2457.050048828125
2023-12-07,0.03380471380471381,168,36,111,2457.050048828125,4071048,2455.75
2023-12-08,0.05263762242485647,502,85,47,2455.75,5102447,2459.35009765625
2023-12-11,0.04883019758019758,418,125,65,2459.35009765625,3533069,2424.050048828125
2023-12-12,0.09138258409424377,333,64,119,2424.050048828125,4598562,2433.949951171875
2023-12-13,0.10748257041312596,428,16,81,2433.949951171875,5015591,2464.14990234375
2023-12-14,0.08833070286195285,266,19,36,2464.14990234375,8486177,2495.60009765625
2023-12-15,0.07698831874647091,853,77,92,2495.60009765625,7966076,2521.0
2023-12-18,0.06543645449201005,232,10,36,2521.0,7082594,2558.10009765625
2023-12-19,0.09537675321189815,1339,92,207,2558.10009765625,8410302,2527.14990234375
2023-12-20,0.07467166999254052,1077,89,208,2527.14990234375,8868361,2562.550048828125
2023-12-21,0.1061841206551733,637,57,95,2562.550048828125,6882727,2565.050048828125
2023-12-22,0.06596615111975282,417,28,59,2565.050048828125,8270892,2578.050048828125
2023-12-26,0.11001173205367837,728,77,149,2578.050048828125,3732832,2586.85009765625
2023-12-27,0.11465809106155088,951,88,112,2586.85009765625,4602078,2605.550048828125
2023-12-28,0.4,3,0,1,2605.550048828125,6151318,2584.949951171875
2023-12-29,0.123230148119854,1195,46,119,2584.949951171875,5432292,2590.25
2024-01-01,0.0964573947709541,89,20,59,2590.25,2015270,2611.699951171875
2024-01-02,0.035536354544082126,434,43,92,2611.699951171875,3724400,2583.300048828125
2024-01-03,0.05882883831998876,315,39,113,2583.300048828125,4518768,2596.64990234375
2024-01-04,0.056065910758761786,323,41,146,2596.64990234375,4806389,2607.699951171875
2024-01-05,0.06694372366812125,319,31,83,2607.699951171875,4043203,2587.35009765625
2024-01-08,0.03216476409545716,245,33,101,2587.35009765625,3867326,2580.5
2024-01-09,0.03839988831942855,203,24,87,2580.5,2701537,2650.10009765625
2024-01-10,0.07101009193239585,16029,516,510,2650.10009765625,5551370,2719.800048828125
2024-01-11,0.06254432323253346,6503,830,572,2719.800048828125,11862926,2741.449951171875
2024-01-12,0.0865425803528482,1924,251,252,2741.449951171875,7506082,2788.25
2024-01-15,0.06546762310926632,2582,119,211,2788.25,4305297,2749.25
2024-01-16,0.022765221661054994,61,11,24,2749.25,4534512,2723.14990234375
2024-01-17,0.0,0,0,1,2723.14990234375,6098691,2734.89990234375
2024-01-19,0.0,2,0,1,2734.89990234375,5211352,2657.14990234375
2024-01-23,0.06435628447596534,186,21,94,2657.14990234375,10027710,2687.75
2024-01-24,0.11851915317193094,112,17,54,2687.75,10959564,2706.14990234375
2024-01-25,0.04234750098386462,226,16,44,2706.14990234375,5904436,2896.10009765625
2024-01-29,0.38349999999999995,84,4,4,2896.10009765625,11946719,2815.25
2024-01-30,-0.20152777777777775,11,1,8,2815.25,7046989,2853.25
2024-01-31,0.078684414989428,1072,74,192,2853.25,7565113,2853.300048828125
2024-02-01,0.08441104608697202,254,51,135,2853.300048828125,6674681,2915.39990234375
2024-02-02,0.049009446890334575,516,82,138,2915.39990234375,9826294,2878.050048828125
2024-02-05,0.08576550849069231,801,85,136,2878.050048828125,4407216,2855.60009765625
2024-02-06,0.28726851851851853,1059,74,6,2855.60009765625,4523992,2884.300048828125
2024-02-07,0.09499487967229901,114,26,31,2884.300048828125,4648284,2900.25
2024-02-08,0.10256302472779745,660,67,110,2900.25,7347317,2921.5
2024-02-09,0.08764691538624948,664,91,96,2921.5,6278399,2904.699951171875
2024-02-12,0.027547264309764317,520,55,100,2904.699951171875,3337215,2930.199951171875
2024-02-13,0.10059210526315789,873,26,19,2930.199951171875,3857797,2962.75
